transformer_id,substation_id,region,total_power_mw,avg_voltage_kv,avg_current_amp,avg_power_mw,avg_frequency_hz,avg_load_percent,avg_power_factor,avg_temperature_c,max_temperature_c,total_energy_generated_mwh,total_energy_consumed_mwh,avg_latency_ms,total_faults,max_risk_score,avg_risk_score,record_count,distinct_anomaly_types,worst_status,status,dominant_anomaly_type
TR-023004,SUB-023,East,487.27,39.85,55.73,1.87,50.03,61.59,0.86,50.13,69.27,-551.99,826.93,12.89,16,100,55.86,260,11,Critical,Warning,Generation Drop
TR-002011,SUB-002,North,483.96,40.02,55.71,1.89,50.0,61.54,0.87,49.95,69.77,1240.13,774.38,12.37,17,100,55.83,256,11,Critical,Warning,Generation Drop
TR-014019,SUB-014,Central,461.24,40.17,55.53,1.9,49.99,61.28,0.87,49.93,70.24,37.54,537.86,13.39,25,100,55.77,243,11,Critical,Warning,Generation Drop
TR-012015,SUB-012,East,518.51,39.76,56.21,1.89,49.99,61.47,0.86,50.02,69.75,-956.34,338.54,13.06,17,100,55.73,275,11,Critical,Warning,Generation Drop
TR-005006,SUB-005,West,501.05,40.01,55.63,1.89,49.99,61.39,0.87,49.72,71.5,1238.43,137.32,13.1,25,100,55.71,265,11,Critical,Warning,Generation Drop
TR-019014,SUB-019,West,473.34,39.92,55.57,1.89,49.99,60.99,0.87,50.19,74.06,1481.38,119.77,12.08,23,100,55.67,250,11,Critical,Warning,Generation Drop
TR-026005,SUB-026,South,501.03,39.76,56.3,1.91,49.99,61.59,0.87,49.9,69.6,-533.22,286.05,11.77,17,100,55.59,263,11,Critical,Warning,Generation Drop
TR-025002,SUB-025,West,520.74,40.1,55.19,1.87,50.01,60.74,0.87,50.21,71.71,988.56,698.78,12.87,25,100,55.49,278,11,Critical,Warning,Generation Drop
TR-023003,SUB-023,East,516.56,39.86,55.63,1.89,49.99,61.17,0.87,49.79,70.07,173.61,510.34,12.56,16,100,54.88,274,11,Critical,Warning,Generation Drop
TR-027006,SUB-027,North-East,494.9,39.97,54.64,1.86,50.02,60.46,0.87,49.4,70.33,856.36,24.6,12.24,14,100,54.71,266,11,Critical,Warning,Generation Drop
TR-015020,SUB-015,Central,461.92,39.88,55.0,1.84,50.03,60.48,0.86,49.81,71.64,-1234.51,122.92,13.99,16,100,54.66,251,11,Critical,Warning,Generation Drop
TR-029007,SUB-029,North,477.08,39.99,55.3,1.89,50.01,60.72,0.87,49.37,69.02,1200.26,146.4,12.52,20,100,54.58,253,11,Critical,Warning,Generation Drop
TR-001004,SUB-001,North,455.96,39.72,55.71,1.89,49.99,60.89,0.87,49.55,69.4,-274.14,560.44,12.34,19,100,54.57,241,11,Critical,Warning,Generation Drop
TR-006019,SUB-006,West,511.64,39.91,54.72,1.85,49.98,59.76,0.87,49.94,71.78,-568.06,781.06,14.33,18,100,54.53,277,11,Critical,Warning,Generation Drop
TR-005014,SUB-005,West,471.11,40.47,54.8,1.89,50.0,60.4,0.87,49.5,71.65,872.76,659.8,12.36,26,100,54.46,249,11,Critical,Warning,Generation Drop
TR-009010,SUB-009,South,458.93,40.09,54.64,1.87,50.0,60.05,0.87,49.46,73.46,1567.48,221.8,11.67,22,100,54.41,246,11,Critical,Warning,Generation Drop
TR-018019,SUB-018,North-East,505.65,39.71,54.68,1.84,50.04,60.61,0.87,49.7,69.5,707.43,19.15,13.14,22,100,54.37,275,11,Critical,Warning,Generation Drop
TR-011020,SUB-011,East,495.22,40.0,55.14,1.88,50.0,60.28,0.87,49.65,66.14,-965.18,562.9,12.07,15,100,54.23,263,11,Critical,Warning,Generation Drop
TR-014018,SUB-014,Central,460.15,39.87,54.82,1.86,50.01,60.49,0.87,49.55,69.57,1488.87,680.01,12.67,11,100,54.2,248,11,Critical,Warning,Generation Drop
TR-010005,SUB-010,South,449.0,40.15,55.13,1.86,50.0,60.85,0.86,49.65,71.66,231.09,273.51,11.67,13,100,54.16,241,11,Critical,Warning,Generation Drop
TR-021015,SUB-021,West,476.28,39.99,54.69,1.87,49.99,60.23,0.87,49.89,69.14,-73.53,374.59,12.82,17,100,54.15,255,11,Critical,Warning,Generation Drop
TR-005017,SUB-005,West,503.92,39.86,55.17,1.89,50.01,60.19,0.87,49.13,70.45,-593.44,518.41,11.9,17,100,53.79,267,11,Critical,Warning,Generation Drop
TR-003001,SUB-003,North,444.85,40.1,53.54,1.83,50.0,59.2,0.87,49.72,73.22,-685.71,207.8,12.2,14,100,53.73,243,11,Critical,Warning,Generation Drop
TR-023002,SUB-023,East,439.95,40.03,54.63,1.86,50.02,59.92,0.87,49.38,69.53,616.83,817.5,12.85,15,100,53.64,236,11,Critical,Warning,Generation Drop
TR-029006,SUB-029,North,465.96,39.71,54.38,1.83,50.02,59.51,0.87,49.4,68.52,-1102.3,286.51,13.57,11,100,53.41,255,11,Critical,Warning,Generation Drop
TR-021018,SUB-021,West,434.81,40.05,54.66,1.87,50.0,60.15,0.87,49.14,70.17,429.6,4.16,12.18,10,100,53.34,233,11,Critical,Warning,Generation Drop
TR-024006,SUB-024,North,441.81,40.03,54.58,1.84,49.98,59.55,0.87,49.68,74.1,432.64,831.87,11.54,15,100,53.26,240,11,Critical,Warning,Generation Drop
TR-010010,SUB-010,South,466.07,39.84,54.0,1.83,50.02,59.39,0.87,49.14,74.04,633.82,13.84,11.79,24,100,53.23,254,11,Critical,Warning,Generation Drop
TR-028020,SUB-028,Central,507.28,39.77,53.86,1.82,50.0,59.55,0.87,49.03,70.97,749.81,1128.31,12.64,15,100,53.15,279,11,Critical,Warning,Generation Drop
TR-001020,SUB-001,North,454.86,39.95,53.6,1.83,49.98,58.79,0.87,49.16,68.06,1541.31,132.25,12.87,20,100,52.98,249,11,Critical,Warning,Generation Drop
TR-014013,SUB-014,Central,453.45,40.19,53.68,1.85,50.02,59.17,0.87,49.2,68.34,146.87,472.36,12.07,19,100,52.97,245,11,Critical,Warning,Generation Drop
TR-026014,SUB-026,South,507.31,39.91,54.66,1.84,49.99,59.5,0.87,49.22,71.78,194.7,-105.8,11.61,23,100,52.85,275,11,Critical,Warning,Generation Drop
TR-006001,SUB-006,West,478.92,39.96,53.5,1.83,49.98,59.0,0.87,48.77,69.42,882.06,1072.33,11.98,20,100,52.61,262,11,Critical,Warning,Generation Drop
TR-001013,SUB-001,North,452.46,39.95,53.74,1.83,49.99,59.39,0.87,48.87,71.95,137.44,-8.73,12.26,16,100,52.42,247,11,Critical,Warning,Generation Drop
TR-002001,SUB-002,North,447.27,39.9,53.55,1.83,50.03,59.15,0.88,48.94,65.57,-478.16,726.03,12.3,14,100,52.29,244,11,Critical,Warning,Generation Drop
TR-017014,SUB-017,North-East,496.25,40.09,53.59,1.85,50.0,58.9,0.88,48.65,68.78,1157.47,801.71,11.63,21,100,52.09,268,11,Critical,Warning,Generation Drop
TR-003011,SUB-003,North,484.86,39.86,53.15,1.81,50.0,58.93,0.87,48.96,73.62,1357.56,1041.45,11.52,12,100,51.93,268,11,Critical,Warning,Generation Drop
TR-012019,SUB-012,East,484.61,39.78,52.33,1.8,50.01,58.21,0.88,48.72,69.85,368.17,612.5,11.71,12,100,51.37,269,11,Critical,Warning,Generation Drop
TR-018016,SUB-018,North-East,458.51,39.82,52.3,1.79,50.0,57.69,0.88,48.62,70.73,477.63,376.15,10.89,16,100,51.3,256,11,Critical,Warning,Generation Drop
TR-027014,SUB-027,North-East,528.75,40.1,53.11,1.84,50.0,58.49,0.88,48.75,68.73,651.4,646.89,12.36,14,100,51.1,288,11,Critical,Warning,Generation Drop
TR-008002,SUB-008,South,427.52,39.8,52.81,1.81,49.96,58.34,0.88,48.54,67.08,-738.86,381.02,11.33,14,100,50.89,236,11,Critical,Warning,Generation Drop
TR-010020,SUB-010,South,511.66,39.81,51.95,1.79,49.99,57.57,0.88,48.44,74.52,15.43,905.35,10.82,20,100,50.84,286,11,Critical,Warning,Generation Drop
TR-003008,SUB-003,North,479.15,40.02,52.55,1.8,50.01,57.53,0.88,48.7,66.83,899.12,458.46,11.58,17,100,50.79,266,11,Critical,Warning,Generation Drop
TR-014016,SUB-014,Central,507.03,39.99,52.07,1.79,50.0,57.7,0.88,48.66,67.36,-920.86,598.06,10.89,19,100,50.67,284,11,Critical,Warning,Generation Drop
TR-007003,SUB-007,West,436.68,40.15,52.86,1.84,49.98,58.15,0.88,48.37,67.53,75.83,443.57,10.76,12,100,50.55,237,11,Critical,Warning,Generation Drop
TR-015018,SUB-015,Central,450.49,39.69,52.41,1.77,50.02,57.1,0.88,48.32,68.53,-677.38,896.46,11.06,26,100,50.43,254,11,Critical,Warning,Generation Drop
TR-026009,SUB-026,South,451.09,40.04,52.56,1.81,49.99,57.91,0.88,48.6,75.35,-772.15,119.82,11.91,11,100,50.38,249,11,Critical,Warning,Generation Drop
TR-022016,SUB-022,South,470.43,40.1,52.3,1.8,49.99,57.57,0.88,48.7,72.53,1245.84,851.6,11.77,11,100,50.31,261,11,Critical,Warning,Generation Drop
TR-020019,SUB-020,East,390.56,40.05,51.78,1.79,50.0,57.61,0.88,48.27,65.87,1319.61,-264.65,10.32,12,100,49.92,218,11,Critical,Low,Generation Drop
TR-022017,SUB-022,South,440.14,39.61,51.7,1.77,50.0,57.24,0.88,48.41,68.68,42.46,80.75,10.12,13,100,49.91,249,11,Critical,Low,Generation Drop
TR-009003,SUB-009,South,468.8,40.24,52.48,1.84,50.0,57.56,0.88,48.23,69.87,708.12,395.96,11.85,6,100,49.78,255,11,Critical,Low,Generation Drop
TR-007011,SUB-007,West,464.46,40.19,51.2,1.78,50.0,56.82,0.88,48.3,65.89,-166.95,145.57,11.98,10,100,49.46,261,11,Critical,Low,Generation Drop
TR-010007,SUB-010,South,475.49,40.02,52.05,1.8,50.02,57.17,0.88,48.02,69.59,-159.22,936.59,10.94,14,100,49.44,264,11,Critical,Low,Generation Drop
TR-020010,SUB-020,East,485.22,39.88,51.72,1.76,50.0,56.83,0.88,48.37,68.38,-1258.24,411.3,11.18,13,100,49.43,276,11,Critical,Low,Generation Drop
TR-025005,SUB-025,West,471.9,40.09,52.24,1.82,49.98,57.66,0.88,48.42,69.74,1181.01,578.24,11.16,7,100,49.22,260,11,Critical,Low,Generation Drop
TR-003018,SUB-003,North,380.72,39.98,50.88,1.75,50.0,56.36,0.88,47.97,68.0,1009.35,416.81,11.22,13,100,48.98,217,11,Critical,Low,Generation Drop
TR-018017,SUB-018,North-East,466.24,40.16,51.95,1.81,49.99,56.68,0.89,47.88,63.72,1426.82,860.82,10.75,8,100,48.91,257,11,Critical,Low,Generation Drop
TR-006011,SUB-006,West,492.65,39.97,52.53,1.82,49.98,57.49,0.88,48.12,71.12,633.97,-179.97,11.7,20,100,48.88,271,11,Critical,Low,Generation Drop
TR-007004,SUB-007,West,485.19,39.79,51.72,1.78,49.99,56.98,0.88,47.85,67.67,1342.74,-234.13,10.92,13,100,48.85,272,11,Critical,Low,Generation Drop
TR-003019,SUB-003,North,556.11,40.01,52.15,1.8,49.99,56.38,0.88,47.9,65.68,619.07,1123.48,11.11,19,100,48.76,309,11,Critical,Low,Generation Drop
TR-010017,SUB-010,South,437.84,39.84,51.15,1.77,50.0,56.49,0.89,48.17,63.0,782.75,267.95,11.32,15,100,48.65,248,11,Critical,Low,Generation Drop
TR-020009,SUB-020,East,477.96,39.89,51.55,1.78,50.0,56.8,0.88,48.3,67.0,1145.2,196.06,12.13,16,100,48.55,269,11,Critical,Low,Generation Drop
TR-011010,SUB-011,East,471.76,40.02,50.82,1.75,50.0,56.37,0.88,47.92,67.86,2.02,1050.03,10.35,12,100,48.45,269,11,Critical,Low,Generation Drop
TR-010009,SUB-010,South,440.84,40.03,51.17,1.77,50.0,55.77,0.88,47.97,64.15,370.83,517.17,10.74,13,99,48.43,249,11,Critical,Low,Generation Drop
TR-001007,SUB-001,North,405.5,40.1,51.03,1.77,50.01,56.1,0.88,47.76,67.82,99.22,69.19,12.85,10,100,48.26,229,11,Critical,Low,Generation Drop
TR-028018,SUB-028,Central,519.09,39.86,51.61,1.78,49.99,56.78,0.88,47.79,69.19,-851.49,344.45,10.76,14,100,48.03,291,11,Critical,Low,Generation Drop
TR-024014,SUB-024,North,454.95,40.07,51.08,1.76,49.98,56.34,0.88,47.98,64.53,1730.83,79.0,11.45,13,98,47.91,258,11,Critical,Low,Generation Drop
TR-002009,SUB-002,North,431.1,40.0,50.23,1.74,49.98,55.63,0.88,47.79,67.53,-96.29,536.84,11.85,17,100,47.88,248,11,Critical,Low,Generation Drop
TR-012017,SUB-012,East,430.25,40.05,50.93,1.76,50.0,55.56,0.88,47.68,68.43,412.26,-71.07,10.73,9,100,47.54,244,11,Critical,Low,Generation Drop
TR-019003,SUB-019,West,417.12,40.07,51.24,1.77,50.01,56.18,0.88,47.92,68.53,1584.72,171.09,10.66,9,100,47.08,236,11,Critical,Low,Generation Drop
TR-014005,SUB-014,Central,471.95,40.17,51.24,1.79,50.0,56.14,0.88,47.88,67.5,640.1,-115.51,10.83,14,100,46.99,264,11,Critical,Low,Generation Drop
TR-022005,SUB-022,South,463.02,39.89,49.91,1.74,50.01,55.12,0.89,47.42,63.0,1575.22,768.75,9.98,12,100,46.93,266,11,Critical,Low,Generation Drop
TR-007014,SUB-007,West,486.8,40.01,50.59,1.76,50.0,55.78,0.89,47.75,66.31,-1156.88,556.63,10.67,15,100,46.89,277,11,Critical,Low,Generation Drop
TR-008014,SUB-008,South,444.64,39.91,50.69,1.76,49.99,55.69,0.89,47.71,65.11,931.38,481.68,10.62,11,100,46.83,253,11,Critical,Low,Generation Drop
TR-021007,SUB-021,West,457.87,39.94,51.11,1.76,50.01,55.89,0.88,47.87,69.0,1509.61,933.74,11.27,9,100,46.8,260,11,Critical,Low,Generation Drop
TR-004014,SUB-004,North,458.02,40.07,51.09,1.77,50.0,55.8,0.88,47.85,71.95,443.48,241.49,11.47,11,100,46.68,259,11,Critical,Low,Generation Drop
TR-017011,SUB-017,North-East,443.48,39.92,50.34,1.73,50.0,55.4,0.88,47.85,69.34,991.5,824.8,11.41,12,100,46.59,256,11,Critical,Low,Generation Drop
TR-009012,SUB-009,South,401.25,40.21,50.68,1.77,50.01,55.52,0.88,47.81,67.17,1474.34,470.52,10.44,5,100,46.45,227,11,Critical,Low,Generation Drop
TR-022014,SUB-022,South,440.66,40.21,50.48,1.76,49.99,55.55,0.89,47.74,68.77,-950.7,198.09,11.95,13,100,46.4,250,11,Critical,Low,Generation Drop
TR-001018,SUB-001,North,430.24,40.03,49.6,1.72,50.0,55.01,0.89,47.75,67.11,1745.63,836.02,10.8,16,100,46.32,250,11,Critical,Low,Generation Drop
TR-025009,SUB-025,West,453.66,40.02,50.01,1.75,50.0,55.3,0.89,47.42,69.07,1583.81,441.88,10.22,13,100,46.28,259,11,Critical,Low,Generation Drop
TR-016020,SUB-016,Central,480.65,39.8,50.27,1.74,50.0,55.38,0.89,47.52,68.19,1309.95,671.52,10.32,16,100,46.23,277,11,Critical,Low,Generation Drop
TR-015010,SUB-015,Central,459.76,40.25,50.75,1.78,50.02,55.38,0.89,47.52,76.57,-1020.22,483.23,10.06,13,100,46.17,259,11,Critical,Low,Generation Drop
TR-010006,SUB-010,South,450.79,39.88,50.31,1.74,50.01,55.09,0.89,47.44,68.28,1641.75,358.11,10.29,9,100,46.16,259,11,Critical,Low,Generation Drop
TR-006015,SUB-006,West,491.66,39.97,51.49,1.79,50.01,56.09,0.89,47.49,71.74,67.79,370.72,10.29,11,100,46.07,274,11,Critical,Low,Generation Drop
TR-005003,SUB-005,West,464.63,40.22,49.3,1.72,49.99,54.89,0.88,47.57,63.81,149.74,228.45,11.0,11,100,46.04,270,11,Critical,Low,Generation Drop
TR-005012,SUB-005,West,495.3,39.83,50.22,1.73,50.0,55.24,0.88,47.56,70.34,678.77,687.46,10.36,11,100,45.95,287,11,Critical,Low,Generation Drop
TR-011012,SUB-011,East,444.58,39.9,50.57,1.76,49.99,55.57,0.89,47.26,65.53,-436.45,927.65,10.05,8,100,45.87,253,11,Critical,Low,Generation Drop
TR-010018,SUB-010,South,426.66,40.22,49.98,1.75,50.01,54.8,0.89,47.42,65.05,1338.25,1010.47,11.26,13,100,45.66,244,11,Critical,Low,Generation Drop
TR-006002,SUB-006,West,442.79,39.96,49.8,1.74,49.99,54.8,0.89,47.27,63.78,347.05,546.94,10.52,13,100,45.55,255,11,Critical,Low,Generation Drop
TR-017003,SUB-017,North-East,459.64,39.94,50.26,1.74,50.0,54.46,0.89,47.47,66.99,825.1,116.94,11.08,13,100,45.48,264,11,Critical,Low,Generation Drop
TR-008016,SUB-008,South,403.86,40.21,50.6,1.79,50.01,55.39,0.89,47.04,69.09,885.87,296.52,9.6,4,100,45.37,226,11,Critical,Low,Generation Drop
TR-023020,SUB-023,East,433.65,39.89,49.39,1.71,50.0,54.44,0.89,47.51,66.78,955.47,706.99,10.81,14,100,45.34,254,11,Critical,Low,Generation Drop
TR-019011,SUB-019,West,461.28,40.1,49.62,1.73,50.01,54.93,0.89,47.31,68.73,896.24,315.57,9.7,10,100,45.27,267,11,Critical,Low,Generation Drop
TR-029004,SUB-029,North,430.5,40.04,49.21,1.72,49.99,54.27,0.89,47.45,66.76,958.54,157.9,10.94,14,100,45.23,250,11,Critical,Low,Generation Drop
TR-015014,SUB-015,Central,441.8,40.06,48.9,1.71,49.98,54.06,0.89,47.36,65.11,1050.53,768.35,10.57,14,100,45.21,259,11,Critical,Low,Generation Drop
TR-011013,SUB-011,East,438.94,39.99,48.82,1.69,49.99,54.14,0.89,47.34,72.27,-1035.19,450.95,10.4,9,100,45.16,259,11,Critical,Low,Generation Drop
TR-029017,SUB-029,North,478.75,39.9,49.46,1.72,49.98,54.53,0.89,47.26,71.39,-79.04,836.01,10.53,10,100,45.05,279,11,Critical,Low,Generation Drop
TR-016017,SUB-016,Central,453.58,40.0,49.04,1.71,49.98,54.28,0.89,47.13,68.13,669.5,125.94,11.42,14,100,44.85,266,11,Critical,Low,Generation Drop
TR-024004,SUB-024,North,415.28,40.22,48.55,1.71,50.0,54.04,0.89,47.39,64.51,-58.2,476.95,11.82,13,99,44.8,243,11,Critical,Low,Generation Drop
TR-024012,SUB-024,North,441.24,39.8,49.27,1.71,50.02,54.34,0.89,47.13,67.01,1335.87,125.79,10.54,13,98,44.78,258,11,Critical,Low,Generation Drop
TR-014010,SUB-014,Central,478.14,39.87,49.43,1.72,50.01,54.19,0.89,46.86,70.22,992.6,500.79,9.08,14,100,44.67,278,11,Critical,Low,Generation Drop
TR-008001,SUB-008,South,436.61,39.83,49.94,1.73,50.01,54.62,0.89,47.09,65.82,-196.0,736.03,10.23,15,100,44.65,253,11,Critical,Low,Generation Drop
TR-001008,SUB-001,North,439.8,39.67,48.76,1.69,50.01,53.71,0.89,47.05,68.11,1664.55,710.54,10.44,13,100,44.64,261,11,Critical,Low,Generation Drop
TR-022012,SUB-022,South,417.78,40.06,47.79,1.67,50.0,52.85,0.89,47.25,76.46,-1203.72,504.68,10.59,11,100,44.59,250,11,Critical,Low,Generation Drop
TR-020014,SUB-020,East,443.88,40.18,48.94,1.71,50.0,53.69,0.89,47.27,72.0,1334.5,618.37,11.02,21,100,44.57,259,11,Critical,Low,Generation Drop
TR-011007,SUB-011,East,480.9,40.1,48.85,1.71,50.0,53.51,0.89,47.29,67.2,2046.88,461.97,10.22,14,100,44.45,282,11,Critical,Low,Generation Drop
TR-002019,SUB-002,North,452.34,40.13,49.29,1.72,49.98,54.26,0.89,47.19,73.02,1332.52,795.43,9.66,8,100,44.45,263,11,Critical,Low,Generation Drop
TR-022011,SUB-022,South,413.37,40.08,49.08,1.73,49.99,54.02,0.89,46.93,64.33,-1100.39,309.88,10.59,8,100,44.44,239,11,Critical,Low,Generation Drop
TR-015005,SUB-015,Central,433.41,40.09,49.28,1.73,50.0,54.17,0.89,46.91,69.26,637.23,715.86,9.45,1,100,44.38,250,11,Critical,Low,Generation Drop
TR-020002,SUB-020,East,406.3,40.22,47.85,1.67,49.99,53.09,0.88,47.4,70.97,657.83,709.48,9.65,11,100,44.35,244,11,Critical,Low,Generation Drop
TR-007020,SUB-007,West,403.84,40.21,48.48,1.7,50.03,53.47,0.89,47.15,65.35,656.72,402.15,10.34,10,100,44.34,238,11,Critical,Low,Generation Drop
TR-009006,SUB-009,South,438.79,40.1,48.47,1.69,50.02,53.46,0.89,47.1,68.12,847.33,86.31,10.61,13,100,44.28,259,11,Critical,Low,Generation Drop
TR-015002,SUB-015,Central,458.08,40.06,48.63,1.72,50.01,53.67,0.9,46.99,67.58,77.96,457.54,10.38,11,100,44.27,267,11,Critical,Low,Generation Drop
TR-027017,SUB-027,North-East,367.98,40.02,49.66,1.73,50.0,54.23,0.89,47.0,65.74,1031.36,397.37,10.72,9,100,44.24,213,11,Critical,Low,Generation Drop
TR-026002,SUB-026,South,474.74,39.8,49.21,1.71,50.0,53.96,0.89,47.17,67.47,533.69,731.33,10.76,14,100,44.23,277,11,Critical,Low,Generation Drop
TR-013005,SUB-013,East,388.07,40.03,48.11,1.68,49.98,53.79,0.89,47.18,73.78,26.16,615.93,10.39,11,100,44.15,231,11,Critical,Low,Generation Drop
TR-006005,SUB-006,West,425.29,40.0,48.71,1.72,50.01,53.87,0.9,46.73,70.49,342.39,263.13,10.44,12,100,44.11,247,11,Critical,Low,Generation Drop
TR-004001,SUB-004,North,444.87,40.26,48.65,1.7,50.0,53.46,0.89,46.78,67.11,1788.61,472.33,10.19,14,98,43.87,261,11,Critical,Low,Generation Drop
TR-005002,SUB-005,West,430.07,39.82,48.8,1.69,49.99,53.07,0.89,46.85,74.01,1468.17,157.5,11.13,11,100,43.63,255,11,Critical,Low,Generation Drop
TR-003006,SUB-003,North,378.61,39.89,48.38,1.68,50.0,53.08,0.89,46.91,68.9,-602.41,627.81,10.92,11,100,43.62,226,11,Critical,Low,Generation Drop
TR-013009,SUB-013,East,449.55,39.76,49.31,1.71,50.0,53.91,0.89,46.74,69.88,-734.77,125.88,10.0,11,100,43.43,263,11,Critical,Low,Generation Drop
TR-016014,SUB-016,Central,418.33,40.03,48.11,1.69,50.0,52.75,0.89,46.88,64.62,-692.07,506.91,9.98,10,97,43.4,247,11,Critical,Low,Generation Drop
TR-028017,SUB-028,Central,477.03,40.1,48.54,1.71,49.99,53.15,0.89,46.69,68.06,1110.03,-13.95,9.65,13,100,43.33,279,11,Critical,Low,Generation Drop
TR-010011,SUB-010,South,415.89,39.68,48.14,1.66,50.0,53.01,0.89,46.65,68.76,-454.31,791.85,9.52,13,100,43.15,250,11,Critical,Low,Generation Drop
TR-007009,SUB-007,West,472.31,40.05,47.81,1.67,49.99,52.61,0.89,46.78,67.97,1827.65,295.96,9.5,10,100,43.12,282,11,Critical,Low,Generation Drop
TR-002008,SUB-002,North,479.17,39.92,47.95,1.68,50.01,52.78,0.9,46.55,66.21,908.22,266.4,9.89,12,100,43.05,285,11,Critical,Low,Generation Drop
TR-024013,SUB-024,North,468.6,40.07,47.84,1.69,49.99,52.96,0.9,46.43,63.0,1061.75,312.89,10.13,15,97,42.96,278,11,Critical,Low,Generation Drop
TR-027010,SUB-027,North-East,433.06,39.89,48.51,1.7,50.01,53.07,0.89,46.78,71.66,136.82,598.96,9.68,9,100,42.87,255,11,Critical,Low,Generation Drop
TR-025004,SUB-025,West,467.7,39.95,48.24,1.67,49.99,52.74,0.89,46.75,71.17,2074.72,792.57,9.87,11,100,42.84,280,11,Critical,Low,Generation Drop
TR-008017,SUB-008,South,460.46,39.99,48.37,1.71,49.98,52.92,0.9,46.45,63.83,-698.37,285.97,9.73,6,100,42.8,270,11,Critical,Low,Generation Drop
TR-005009,SUB-005,West,442.0,40.15,47.43,1.68,50.0,52.31,0.9,46.44,64.54,367.12,544.38,9.31,11,100,42.53,263,11,Critical,Low,Generation Drop
TR-005015,SUB-005,West,442.69,40.06,48.13,1.68,50.0,53.15,0.89,46.79,71.63,-55.21,1193.04,10.24,10,100,42.5,264,11,Critical,Low,Generation Drop
TR-008008,SUB-008,South,446.27,40.17,47.62,1.68,49.99,52.59,0.89,46.53,63.99,277.47,848.66,10.36,10,100,42.35,266,11,Critical,Low,Generation Drop
TR-015006,SUB-015,Central,491.18,39.92,47.18,1.65,50.0,52.12,0.9,46.38,65.94,-804.01,-152.32,10.82,11,98,42.29,297,11,Critical,Low,Generation Drop
TR-020012,SUB-020,East,480.1,39.98,47.44,1.65,50.01,52.21,0.89,46.72,72.59,539.59,711.23,10.3,14,100,42.22,291,11,Critical,Low,Generation Drop
TR-013011,SUB-013,East,433.44,40.13,47.41,1.66,49.99,52.44,0.89,46.63,68.47,1022.18,-328.1,9.61,8,100,42.2,261,11,Critical,Low,Generation Drop
TR-001017,SUB-001,North,448.02,39.88,47.32,1.67,49.99,52.51,0.9,46.22,63.0,770.36,485.45,9.16,9,100,42.13,269,11,Critical,Low,Generation Drop
TR-018004,SUB-018,North-East,436.27,39.93,47.45,1.65,49.99,51.65,0.89,46.52,66.2,949.22,491.48,9.8,8,100,42.11,264,11,Critical,Low,Generation Drop
TR-025012,SUB-025,West,450.41,39.73,47.27,1.63,50.01,52.25,0.89,46.38,67.47,186.04,979.04,9.33,8,100,42.0,276,11,Critical,Low,Generation Drop
TR-011009,SUB-011,East,475.69,40.08,47.79,1.7,49.99,52.05,0.9,46.39,66.28,579.69,654.88,9.53,9,100,41.95,280,11,Critical,Low,Generation Drop
TR-011019,SUB-011,East,473.62,39.83,46.33,1.63,50.0,51.22,0.9,46.23,63.0,-578.17,941.21,9.16,12,100,41.94,291,11,Critical,Low,Generation Drop
TR-023018,SUB-023,East,428.22,39.98,46.92,1.63,50.01,51.43,0.89,46.66,66.36,1078.19,562.62,10.21,13,100,41.82,263,11,Critical,Low,Generation Drop
TR-009005,SUB-009,South,379.88,40.18,47.52,1.67,50.0,51.93,0.9,46.35,68.01,-967.04,630.77,9.55,13,100,41.7,227,11,Critical,Low,Generation Drop
TR-004007,SUB-004,North,488.06,39.76,47.15,1.65,50.01,51.9,0.9,46.55,71.75,-1042.28,534.88,9.53,12,100,41.69,296,11,Critical,Low,Generation Drop
TR-018009,SUB-018,North-East,436.92,40.03,47.98,1.7,50.0,52.16,0.9,46.12,68.39,232.35,1064.57,9.71,14,100,41.68,257,11,Critical,Low,Generation Drop
TR-010013,SUB-010,South,451.51,39.96,47.53,1.67,50.01,52.48,0.9,46.16,70.66,493.62,399.38,8.6,8,100,41.61,271,11,Critical,Low,Generation Drop
TR-017006,SUB-017,North-East,422.14,39.89,46.49,1.63,49.99,51.56,0.9,46.14,72.29,100.18,206.18,9.39,10,100,41.57,259,11,Critical,Low,Generation Drop
TR-013003,SUB-013,East,446.04,39.81,46.2,1.62,49.99,51.31,0.9,46.18,65.69,877.3,586.84,10.11,16,100,41.48,275,11,Critical,Low,Generation Drop
TR-012005,SUB-012,East,462.62,39.98,46.76,1.66,50.01,51.78,0.9,46.01,68.86,1570.15,1009.07,9.15,6,100,41.38,279,11,Critical,Low,Generation Drop
TR-010014,SUB-010,South,425.6,39.94,47.27,1.67,49.99,51.61,0.9,46.02,66.11,1028.54,663.62,9.71,7,100,41.21,255,11,Critical,Low,Generation Drop
TR-016019,SUB-016,Central,399.0,40.01,46.47,1.65,49.99,51.7,0.9,45.83,63.0,-120.56,721.9,9.11,8,100,41.16,242,11,Critical,Low,Generation Drop
TR-014015,SUB-014,Central,482.68,39.92,46.37,1.63,49.99,51.38,0.9,46.07,66.75,179.54,382.8,9.38,7,100,41.04,296,11,Critical,Low,Generation Drop
TR-006006,SUB-006,West,408.61,40.01,46.09,1.63,50.0,50.8,0.9,46.16,66.57,2280.92,-215.81,10.23,11,100,40.96,250,11,Critical,Low,Generation Drop
