transformer_id,substation_id,region,avg_load_percent,avg_temperature_c,avg_voltage_kv,avg_power_factor,avg_risk_score,max_risk_score,distinct_anomaly_types,total_faults
TR-006012,SUB-006,West,91.8,61.03,37.93,0.74,92.6,99,4,3
TR-006010,SUB-006,West,100.0,67.31,39.59,0.69,99.0,99,1,1
TR-007002,SUB-007,West,88.49,60.27,40.18,0.74,89.5,99,4,2
TR-025014,SUB-025,West,90.45,64.42,40.67,0.73,92.78,99,4,4
TR-005011,SUB-005,West,87.56,58.6,37.52,0.77,90.7,99,5,6
TR-026006,SUB-026,South,87.28,59.52,42.1,0.79,88.17,99,5,2
TR-004013,SUB-004,North,91.11,63.53,40.84,0.76,91.89,99,4,2
TR-006007,SUB-006,West,90.97,58.87,40.62,0.78,90.57,99,4,4
TR-027004,SUB-027,North-East,91.67,61.61,38.46,0.71,93.5,99,4,3
TR-004018,SUB-004,North,92.96,64.86,40.74,0.77,95.57,99,3,5
TR-003020,SUB-003,North,85.64,61.34,40.16,0.7,90.75,99,4,2
TR-002015,SUB-002,North,88.46,58.02,41.62,0.75,89.3,99,6,6
TR-002002,SUB-002,North,88.98,63.0,44.25,0.76,90.5,99,3,0
TR-028001,SUB-028,Central,86.94,62.7,39.55,0.74,92.3,99,5,6
TR-003007,SUB-003,North,87.58,58.84,40.04,0.77,90.56,99,4,6
TR-007012,SUB-007,West,90.92,62.7,44.29,0.77,95.5,99,2,2
TR-024001,SUB-024,North,86.98,61.45,41.03,0.76,89.64,99,4,2
TR-024004,SUB-024,North,87.49,62.24,40.39,0.76,90.0,99,5,2
TR-008006,SUB-008,South,90.44,60.69,40.16,0.77,91.12,99,5,3
TR-024018,SUB-024,North,94.0,64.39,42.75,0.71,97.4,99,1,3
TR-007013,SUB-007,West,87.69,63.05,41.73,0.74,90.71,99,4,3
TR-009002,SUB-009,South,90.57,61.4,40.56,0.79,89.71,99,3,3
TR-008018,SUB-008,South,90.9,62.32,38.92,0.78,94.0,99,3,2
TR-002020,SUB-002,North,89.25,58.98,40.11,0.79,89.0,99,3,1
TR-002010,SUB-002,North,90.0,63.86,38.92,0.72,97.67,99,2,3
TR-002017,SUB-002,North,89.52,64.91,35.72,0.73,94.0,99,2,2
TR-002016,SUB-002,North,86.79,61.14,40.83,0.75,89.7,99,5,4
TR-006009,SUB-006,West,88.25,61.01,38.78,0.76,91.67,98,3,3
TR-006013,SUB-006,West,86.33,58.78,41.63,0.81,92.67,98,3,3
TR-023019,SUB-023,East,88.58,62.83,41.27,0.75,89.8,98,4,1
TR-024014,SUB-024,North,87.58,60.64,40.89,0.76,90.79,98,7,8
TR-003012,SUB-003,North,90.54,64.42,38.03,0.75,90.67,98,3,2
TR-013020,SUB-013,East,89.59,61.56,39.93,0.73,91.6,98,4,2
TR-020013,SUB-020,East,90.67,61.57,41.08,0.76,93.5,98,3,3
TR-014006,SUB-014,Central,100.0,63.0,45.44,0.7,98.0,98,1,1
TR-013008,SUB-013,East,90.47,62.46,41.5,0.78,90.9,98,5,3
TR-020001,SUB-020,East,86.25,62.13,42.18,0.78,90.25,98,3,1
TR-011011,SUB-011,East,100.0,63.84,40.04,0.73,97.5,98,2,0
TR-013012,SUB-013,East,84.58,59.5,44.05,0.78,92.0,98,2,2
TR-012006,SUB-012,East,100.0,68.85,40.71,0.74,98.0,98,1,1
TR-008009,SUB-008,South,90.38,59.55,42.23,0.75,91.6,98,4,4
TR-008003,SUB-008,South,86.07,60.1,38.44,0.78,92.0,98,5,5
TR-024012,SUB-024,North,87.71,61.25,39.88,0.76,90.83,98,7,4
TR-007006,SUB-007,West,93.5,62.58,40.39,0.72,92.25,98,3,2
TR-025008,SUB-025,West,87.5,59.72,35.78,0.76,95.5,98,2,2
TR-009013,SUB-009,South,90.0,64.5,39.93,0.76,93.25,98,4,2
TR-012004,SUB-012,East,90.16,63.71,41.98,0.69,94.0,98,2,2
TR-009008,SUB-009,South,84.75,59.46,40.31,0.79,89.0,98,3,2
TR-004001,SUB-004,North,88.43,60.28,39.99,0.75,89.23,98,6,2
TR-003015,SUB-003,North,87.5,59.5,36.39,0.73,95.5,98,1,2
TR-006016,SUB-006,West,88.39,60.19,38.73,0.79,88.4,98,5,2
TR-026003,SUB-026,South,90.0,60.67,40.34,0.76,91.33,98,3,2
TR-006004,SUB-006,West,99.4,64.88,36.59,0.75,98.0,98,1,0
TR-028014,SUB-028,Central,85.23,60.06,42.27,0.78,89.4,98,4,2
TR-002013,SUB-002,North,87.5,61.68,44.1,0.75,97.0,98,2,2
TR-015009,SUB-015,Central,89.79,63.45,38.96,0.77,90.0,98,3,1
TR-019002,SUB-019,West,92.27,63.56,35.58,0.77,98.0,98,1,1
TR-018013,SUB-018,North-East,92.42,63.0,43.97,0.74,91.5,98,2,0
TR-015006,SUB-015,Central,89.87,58.83,39.71,0.8,89.85,98,5,4
TR-015007,SUB-015,Central,88.5,63.0,35.92,0.67,97.0,98,2,2
TR-019015,SUB-019,West,84.75,60.62,39.88,0.78,91.75,98,3,3
TR-017019,SUB-017,North-East,84.87,62.06,42.04,0.72,90.57,98,3,3
TR-029005,SUB-029,North,85.38,61.55,41.8,0.78,90.0,98,3,2
TR-020017,SUB-020,East,89.98,59.56,40.48,0.8,93.86,98,3,6
TR-008020,SUB-008,South,86.18,60.81,38.5,0.79,94.33,98,3,3
TR-010003,SUB-010,South,87.52,60.08,42.28,0.77,91.5,98,3,3
TR-027001,SUB-027,North-East,90.49,65.06,39.26,0.72,90.4,97,3,0
TR-028003,SUB-028,Central,89.47,62.29,38.01,0.71,90.43,97,5,3
TR-003014,SUB-003,North,93.5,62.06,40.03,0.78,94.0,97,2,2
TR-005019,SUB-005,West,88.04,63.0,45.38,0.69,97.0,97,1,1
TR-026019,SUB-026,South,90.0,64.35,41.41,0.73,92.33,97,2,1
TR-004011,SUB-004,North,83.21,56.65,38.4,0.83,88.75,97,2,4
TR-028019,SUB-028,Central,96.45,66.18,34.92,0.78,93.5,97,1,0
TR-027011,SUB-027,North-East,92.5,63.0,39.9,0.7,96.5,97,1,1
TR-024019,SUB-024,North,92.5,64.47,36.36,0.75,91.0,97,2,0
TR-015011,SUB-015,Central,87.5,61.1,40.62,0.75,91.5,97,2,1
TR-016002,SUB-016,Central,94.09,63.0,34.51,0.78,97.0,97,1,1
TR-016014,SUB-016,Central,87.85,59.76,40.6,0.8,87.81,97,5,3
TR-020015,SUB-020,East,93.95,64.87,43.82,0.74,97.0,97,2,1
TR-029003,SUB-029,North,86.24,58.37,40.88,0.81,90.0,97,4,3
TR-017001,SUB-017,North-East,100.0,63.0,44.87,0.7,97.0,97,1,1
TR-017015,SUB-017,North-East,91.33,59.15,36.77,0.74,90.0,97,3,1
TR-017005,SUB-017,North-East,92.62,66.26,39.82,0.59,97.0,97,1,2
TR-012014,SUB-012,East,90.23,62.8,36.1,0.72,90.5,97,4,1
TR-013010,SUB-013,East,92.0,60.57,43.33,0.73,92.0,97,2,1
TR-020003,SUB-020,East,89.67,60.43,36.73,0.79,89.0,97,2,1
TR-019020,SUB-019,West,85.0,63.0,36.45,0.78,97.0,97,1,1
TR-021003,SUB-021,West,85.49,63.0,36.02,0.78,95.5,97,2,2
TR-008007,SUB-008,South,86.44,61.88,41.33,0.69,88.5,97,5,1
TR-024015,SUB-024,North,90.0,56.74,42.98,0.82,93.5,97,2,2
TR-024013,SUB-024,North,84.29,58.35,40.4,0.8,89.29,97,6,9
TR-008011,SUB-008,South,87.5,61.73,37.54,0.8,94.5,97,4,3
TR-024009,SUB-024,North,87.5,59.8,43.99,0.7,95.5,97,2,2
TR-024007,SUB-024,North,84.78,59.5,43.8,0.75,93.0,97,2,2
TR-023010,SUB-023,East,92.0,60.47,36.02,0.75,91.0,97,2,1
TR-008015,SUB-008,South,84.65,62.56,40.12,0.81,92.5,96,2,2
TR-025001,SUB-025,West,85.57,62.09,39.59,0.72,88.5,96,4,2
TR-024003,SUB-024,North,85.0,63.0,34.91,0.78,96.0,96,1,1
TR-023008,SUB-023,East,90.84,61.86,39.7,0.78,90.25,96,3,1
TR-012010,SUB-012,East,85.8,60.48,40.9,0.78,89.4,96,4,3
TR-018003,SUB-018,North-East,100.0,64.19,44.46,0.67,96.0,96,1,0
TR-017007,SUB-017,North-East,100.0,66.05,35.28,0.77,96.0,96,1,0
TR-012007,SUB-012,East,85.0,63.0,35.55,0.61,96.0,96,1,1
TR-017008,SUB-017,North-East,85.0,63.0,34.76,0.68,96.0,96,1,1
TR-014017,SUB-014,Central,86.71,60.25,37.9,0.74,90.0,96,4,2
TR-011017,SUB-011,East,86.77,62.29,35.8,0.78,89.33,96,2,1
TR-018018,SUB-018,North-East,100.0,63.0,35.86,0.77,96.0,96,2,0
TR-002005,SUB-002,North,87.64,61.6,38.74,0.75,89.8,96,4,1
TR-026007,SUB-026,South,86.01,62.0,37.01,0.77,89.29,96,5,1
TR-026020,SUB-026,South,85.0,63.0,43.75,0.74,96.0,96,1,1
TR-002006,SUB-002,North,96.8,63.41,45.34,0.72,93.0,96,1,0
TR-004003,SUB-004,North,89.75,62.03,36.42,0.76,90.5,96,2,2
TR-010012,SUB-010,South,87.75,61.25,40.4,0.77,88.25,96,3,1
TR-012002,SUB-012,East,93.93,63.54,45.35,0.7,92.0,96,1,0
TR-022009,SUB-022,South,88.45,61.22,37.89,0.75,90.6,96,5,3
TR-001011,SUB-001,North,90.42,62.03,41.39,0.77,95.0,95,2,2
TR-021012,SUB-021,West,91.57,58.67,41.24,0.75,90.33,95,2,1
TR-029002,SUB-029,North,85.0,63.0,34.81,0.76,95.0,95,1,1
TR-022002,SUB-022,South,90.0,62.3,40.43,0.74,90.0,95,3,1
TR-008012,SUB-008,South,85.0,63.0,36.3,0.78,95.0,95,1,1
TR-028006,SUB-028,Central,84.5,61.28,39.2,0.78,91.5,95,2,2
TR-001001,SUB-001,North,84.83,57.56,41.53,0.83,91.0,95,2,4
TR-016012,SUB-016,Central,89.68,59.04,40.08,0.79,94.0,95,2,2
TR-023007,SUB-023,East,87.5,61.0,44.3,0.75,90.5,94,2,1
TR-012011,SUB-012,East,92.5,65.23,40.25,0.73,91.0,94,2,0
TR-021020,SUB-021,West,85.0,63.0,43.67,0.67,94.0,94,1,1
TR-021009,SUB-021,West,85.0,63.0,35.41,0.66,94.0,94,1,1
TR-011001,SUB-011,East,91.84,61.06,39.09,0.81,89.5,94,2,0
TR-001019,SUB-001,North,90.0,56.0,37.3,0.75,93.0,93,1,1
TR-014011,SUB-014,Central,85.88,57.72,40.46,0.79,87.6,93,4,3
TR-019006,SUB-019,West,90.0,56.0,37.07,0.73,93.0,93,1,1
TR-013017,SUB-013,East,90.0,57.41,43.45,0.72,93.0,93,1,1
TR-004017,SUB-004,North,85.0,63.0,36.41,0.69,93.0,93,1,1
TR-027015,SUB-027,North-East,88.61,60.0,41.6,0.76,88.0,93,3,2
TR-022019,SUB-022,South,84.56,57.6,38.24,0.78,88.33,93,3,2
TR-010008,SUB-010,South,89.91,60.42,36.35,0.84,93.0,93,1,1
TR-024010,SUB-024,North,87.5,59.5,39.88,0.73,88.5,92,2,1
TR-007007,SUB-007,West,88.95,61.87,41.2,0.77,89.67,92,3,1
TR-022015,SUB-022,South,89.74,60.27,43.95,0.62,91.5,92,2,1
TR-018007,SUB-018,North-East,89.6,62.19,39.29,0.78,90.67,92,2,1
TR-028005,SUB-028,Central,87.5,59.74,44.02,0.79,88.5,91,2,1
TR-026015,SUB-026,South,90.0,56.62,37.41,0.75,91.0,91,1,1
TR-021005,SUB-021,West,87.82,59.99,40.81,0.75,88.0,91,2,1
TR-009014,SUB-009,South,88.49,58.2,37.32,0.81,91.0,91,1,1
TR-020004,SUB-020,East,98.1,63.74,35.61,0.77,91.0,91,1,0
TR-021002,SUB-021,West,90.14,59.27,38.31,0.76,88.33,91,3,1
TR-017009,SUB-017,North-East,90.0,56.0,37.57,0.81,91.0,91,1,1
TR-001006,SUB-001,North,86.0,64.12,39.16,0.78,87.4,90,4,0
TR-017004,SUB-017,North-East,85.33,56.33,43.8,0.77,89.33,90,3,2
TR-020005,SUB-020,East,82.2,58.65,43.77,0.71,90.0,90,1,1
TR-005018,SUB-005,West,86.4,56.0,43.35,0.82,90.0,90,1,1
TR-028007,SUB-028,Central,89.81,57.4,42.47,0.75,90.0,90,1,1
TR-025003,SUB-025,West,87.0,57.57,43.2,0.83,88.0,90,2,1
TR-002007,SUB-002,North,84.0,52.92,43.26,0.84,87.5,89,1,2
TR-026017,SUB-026,South,86.0,58.83,40.02,0.79,87.75,89,3,1
TR-024020,SUB-024,North,86.07,56.0,36.58,0.83,88.0,88,1,1
TR-027007,SUB-027,North-East,84.0,50.65,43.3,0.9,88.0,88,1,1
TR-004004,SUB-004,North,84.25,59.5,41.02,0.7,87.0,88,2,1
TR-029019,SUB-029,North,83.65,56.33,36.55,0.8,86.33,88,3,2
TR-015015,SUB-015,Central,87.91,57.45,38.86,0.78,86.0,88,3,1
TR-027016,SUB-027,North-East,83.76,55.83,43.26,0.87,87.0,88,2,2
TR-025016,SUB-025,West,87.93,63.95,35.07,0.78,87.0,87,1,0
TR-003009,SUB-003,North,85.0,65.91,44.09,0.73,87.0,87,1,0
TR-026011,SUB-026,South,87.66,58.77,40.71,0.74,86.29,87,3,1
TR-014007,SUB-014,Central,89.2,63.0,35.03,0.67,87.0,87,1,0
TR-016016,SUB-016,Central,86.28,56.0,42.84,0.68,87.0,87,1,1
TR-013013,SUB-013,East,85.0,63.0,43.7,0.78,87.0,87,1,0
TR-007016,SUB-007,West,84.02,59.5,35.92,0.73,86.0,87,2,1
TR-016007,SUB-016,Central,84.5,60.7,40.67,0.84,86.5,87,2,1
TR-020007,SUB-020,East,80.41,56.0,43.44,0.78,87.0,87,1,1
TR-016004,SUB-016,Central,85.0,64.85,43.45,0.74,87.0,87,1,0
TR-015004,SUB-015,Central,84.0,51.36,43.14,0.81,87.0,87,1,1
TR-022020,SUB-022,South,85.0,63.0,40.43,0.78,85.5,86,1,0
TR-008010,SUB-008,South,85.0,63.0,44.1,0.78,86.0,86,1,0
TR-001015,SUB-001,North,90.0,64.51,36.4,0.74,86.0,86,1,0
TR-019009,SUB-019,West,84.0,50.0,43.21,0.81,86.0,86,1,1
TR-027009,SUB-027,North-East,84.96,57.26,43.46,0.82,86.0,86,2,1
TR-002004,SUB-002,North,85.0,63.0,43.77,0.78,86.0,86,1,0
TR-012003,SUB-012,East,85.0,63.55,35.72,0.76,86.0,86,2,0
TR-013002,SUB-013,East,88.95,62.34,42.99,0.82,85.0,85,1,0
TR-018010,SUB-018,North-East,85.0,63.0,40.92,0.78,85.0,85,2,0
TR-029013,SUB-029,North,85.0,63.9,36.31,0.78,85.0,85,1,0
TR-014002,SUB-014,Central,84.0,53.0,42.9,0.8,85.0,85,1,1
TR-016006,SUB-016,Central,84.0,54.11,36.94,0.79,85.0,85,1,1
TR-021019,SUB-021,West,90.0,60.06,36.36,0.74,85.0,85,1,0
TR-022008,SUB-022,South,90.0,56.0,36.33,0.84,85.0,85,1,0
TR-011002,SUB-011,East,90.0,62.02,43.43,0.81,85.0,85,1,0
TR-009017,SUB-009,South,90.0,61.85,36.8,0.8,85.0,85,1,0
TR-007015,SUB-007,West,85.0,63.0,43.47,0.62,85.0,85,1,0
TR-007018,SUB-007,West,84.0,53.96,42.65,0.81,85.0,85,1,1
TR-027019,SUB-027,North-East,85.0,63.0,43.86,0.74,85.0,85,1,0
TR-027018,SUB-027,North-East,84.0,53.38,37.53,0.85,85.0,85,1,1
